מספר,קוד מוצר,קטגוריה,רובד מחיר,שם המוצר,תיאור קצר,עלות משוערת (₪),מחיר מכירה (₪),ערך נתפס (₪),מרווח ברוטו (₪),מרווח %,לינק ישיר למוצר ,לינק AliExpress,מחיר AliExpress ($),לינק Alibaba,מחיר Alibaba ($),לינק TEMU,מחיר TEMU ($)
12,GMA5012,טכנולוגיה שימושית,Elite,אוזניות ANC Bluetooth,ביטול רעשים אקטיבי,60,95,300,35,37%,,https://www.aliexpress.com/w/wholesale-אוזניות-anc-bluetooth.html,16.22,https://www.alibaba.com/trade/search?SearchText=אוזניות+ANC+Bluetooth,13.78,https://www.temu.com/search_result.html?search_key=אוזניות+ANC+Bluetooth,14.59
13,GMA5013,טכנולוגיה שימושית,Elite,מטען אלחוטי 3-ב-1,טלפון + אוזניות + שעון,55,99,280,44,44%,,https://www.aliexpress.com/w/wholesale-מטען-אלחוטי-3-ב-1.html,14.86,https://www.alibaba.com/trade/search?SearchText=מטען+אלחוטי+3-ב-1,12.64,https://www.temu.com/search_result.html?search_key=מטען+אלחוטי+3-ב-1,13.38
14,GMA5014,טכנולוגיה שימושית,Elite,מיני פרוייקטור LED,"הקרנת טלפון, קולנוע ביתי",60,99,350,39,39%,,https://www.aliexpress.com/w/wholesale-מיני-פרוייקטור-led.html,16.22,https://www.alibaba.com/trade/search?SearchText=מיני+פרוייקטור+LED,13.78,https://www.temu.com/search_result.html?search_key=מיני+פרוייקטור+LED,14.59
15,GMA5015,טכנולוגיה שימושית,Elite,"Power Bank 20,000mAh","טעינה מהירה, נסיעות",50,95,250,45,47%,,"https://www.aliexpress.com/w/wholesale-power-bank-20,000mah.html",13.51,"https://www.alibaba.com/trade/search?SearchText=Power+Bank+20,000mAh",11.49,"https://www.temu.com/search_result.html?search_key=Power+Bank+20,000mAh",12.16
16,GMA5016,בית ואווירה,Essential,רצועות LED חכמות 5 מטר,"RGB, שלט/אפליקציה",30,65,150,35,54%,,https://www.aliexpress.com/w/wholesale-רצועות-led-חכמות-5-מטר.html,8.11,https://www.alibaba.com/trade/search?SearchText=רצועות+LED+חכמות+5+מטר,6.89,https://www.temu.com/search_result.html?search_key=רצועות+LED+חכמות+5+מטר,7.3
17,GMA5017,בית ואווירה,Essential,מפזר ריח אולטרסוני + LED,"עיצוב מינימליסטי, mood lighting",30,68,160,38,56%,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.18.19dfqLa7qLa7dC&productIds=1005009079631317:12000047840946459&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009079631317%7C_p_origin_prod%3A&pvid=d91cc353-2581-4321-9f8b-be2d6cb60076,https://www.aliexpress.com/w/wholesale-מפזר-ריח-אולטרסוני-+-led.html,8.11,https://www.alibaba.com/trade/search?SearchText=מפזר+ריח+אולטרסוני+++LED,6.89,https://www.temu.com/search_result.html?search_key=מפזר+ריח+אולטרסוני+++LED,7.3
18,GMA5018,בית ואווירה,Essential,מארגן כבלים מגנטי,"מחזיקים מגנטיים, סדר",20,55,120,35,64%,,https://www.aliexpress.com/w/wholesale-מארגן-כבלים-מגנטי.html,5.41,https://www.alibaba.com/trade/search?SearchText=מארגן+כבלים+מגנטי,4.59,https://www.temu.com/search_result.html?search_key=מארגן+כבלים+מגנטי,4.86
19,GMA5019,בית ואווירה,Essential,שעון מעורר LED דיגיטלי,"תצוגת טמפרטורה, מעורר",25,59,130,34,58%,,https://www.aliexpress.com/w/wholesale-שעון-מעורר-led-דיגיטלי.html,6.76,https://www.alibaba.com/trade/search?SearchText=שעון+מעורר+LED+דיגיטלי,5.74,https://www.temu.com/search_result.html?search_key=שעון+מעורר+LED+דיגיטלי,6.08
20,GMA5020,בית ואווירה,Premium,שעון מעורר עם סימולציית זריחה,"Wake-up light, בריאות שינה",50,89,220,39,44%,,https://www.aliexpress.com/w/wholesale-שעון-מעורר-עם-סימולציית-זריחה.html,13.51,https://www.alibaba.com/trade/search?SearchText=שעון+מעורר+עם+סימולציית+זריחה,11.49,https://www.temu.com/search_result.html?search_key=שעון+מעורר+עם+סימולציית+זריחה,12.16
21,GMA5021,בית ואווירה,Premium,מנורת לילה חכמה + חיישן תנועה,"למסדרון/שירותים, USB",35,75,160,40,53%,,https://www.aliexpress.com/w/wholesale-מנורת-לילה-חכמה-+-חיישן-תנועה.html,9.46,https://www.alibaba.com/trade/search?SearchText=מנורת+לילה+חכמה+++חיישן+תנועה,8.04,https://www.temu.com/search_result.html?search_key=מנורת+לילה+חכמה+++חיישן+תנועה,8.51
22,GMA5022,בית ואווירה,Premium,מארגן תכשיטים מסתובב,"לתכשיטים, אסתטי",40,79,180,39,49%,,https://www.aliexpress.com/w/wholesale-מארגן-תכשיטים-מסתובב.html,10.81,https://www.alibaba.com/trade/search?SearchText=מארגן+תכשיטים+מסתובב,9.19,https://www.temu.com/search_result.html?search_key=מארגן+תכשיטים+מסתובב,9.73
23,GMA5023,בית ואווירה,Premium,כרית זיכרון ארגונומית,"Memory Foam, למשרד/אוטו",45,85,200,40,47%,,https://www.aliexpress.com/w/wholesale-כרית-זיכרון-ארגונומית.html,12.16,https://www.alibaba.com/trade/search?SearchText=כרית+זיכרון+ארגונומית,10.34,https://www.temu.com/search_result.html?search_key=כרית+זיכרון+ארגונומית,10.95
24,GMA5024,בית ואווירה,Elite,רובוט שואב אבק מיני,"שואב אוטומטי, wow factor",60,99,300,39,39%,,https://www.aliexpress.com/w/wholesale-רובוט-שואב-אבק-מיני.html,16.22,https://www.alibaba.com/trade/search?SearchText=רובוט+שואב+אבק+מיני,13.78,https://www.temu.com/search_result.html?search_key=רובוט+שואב+אבק+מיני,14.59
25,GMA5025,בית ואווירה,Elite,מנורת שולחן LED נטענת,"3 רמות בהירות, אלחוטי",50,95,220,45,47%,https://he.aliexpress.com/item/1005010793998800.html?spm=a2g0o.productlist.main.2.4240TzskTzskrz&algo_pvid=f1d66b78-2f9d-449e-a5d9-82184703be16&algo_exp_id=f1d66b78-2f9d-449e-a5d9-82184703be16-1&pdp_ext_f=%7B%22order%22%3A%22140%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%21104.02%2144.94%21%21%21227.71%2198.38%21%40214100f417729028311384330eeae2%2112000053527208498%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895%3BpisId%3A5000000201414769&curPageLogUid=rPGQjUmuVj3r&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010793998800%7C_p_origin_prod%3A&_gl=1*1nwzzrb*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI5MDE4NjUkbzI1JGcxJHQxNzcyOTAyODMzJGo2MCRsMCRoMA..,https://www.aliexpress.com/w/wholesale-מנורת-שולחן-led-נטענת.html,13.51,https://www.alibaba.com/trade/search?SearchText=מנורת+שולחן+LED+נטענת,11.49,https://www.temu.com/search_result.html?search_key=מנורת+שולחן+LED+נטענת,12.16
26,GMA5026,בית ואווירה,Elite,מפזר ריח + מכשיר לחות 2-ב-1,"רב-תכליתי, בריאות",55,98,240,43,44%,,https://www.aliexpress.com/w/wholesale-מפזר-ריח-+-מכשיר-לחות-2-ב-1.html,14.86,https://www.alibaba.com/trade/search?SearchText=מפזר+ריח+++מכשיר+לחות+2-ב-1,12.64,https://www.temu.com/search_result.html?search_key=מפזר+ריח+++מכשיר+לחות+2-ב-1,13.38
27,GMA5027,בית ואווירה,Elite,שעון קיר דיגיטלי 3D,"מודרני, גדול, אינסטגרמבילי",50,95,250,45,47%,,https://www.aliexpress.com/w/wholesale-שעון-קיר-דיגיטלי-3d.html,13.51,https://www.alibaba.com/trade/search?SearchText=שעון+קיר+דיגיטלי+3D,11.49,https://www.temu.com/search_result.html?search_key=שעון+קיר+דיגיטלי+3D,12.16
28,GMA5028,מטבח ואירוח,Essential,בקבוק מים תרמי מזכוכית,"צבעי פסטל, פיית קש",30,65,180,35,54%,,https://www.aliexpress.com/w/wholesale-בקבוק-מים-תרמי-מזכוכית.html,8.11,https://www.alibaba.com/trade/search?SearchText=בקבוק+מים+תרמי+מזכוכית,6.89,https://www.temu.com/search_result.html?search_key=בקבוק+מים+תרמי+מזכוכית,7.3
29,GMA5029,מטבח ואירוח,Essential,סט 4 קופסאות אחסון אטומות,"זכוכית/פלסטיק איכותי, אטומות",25,59,140,34,58%,,https://www.aliexpress.com/w/wholesale-סט-4-קופסאות-אחסון-אטומות.html,6.76,https://www.alibaba.com/trade/search?SearchText=סט+4+קופסאות+אחסון+אטומות,5.74,https://www.temu.com/search_result.html?search_key=סט+4+קופסאות+אחסון+אטומות,6.08
30,GMA5030,מטבח ואירוח,Essential,מטחנת מלח ופלפל חשמלית,"סט זוגי, טעינת USB",35,69,160,34,49%,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.adf14c47MI2WWs&productIds=1005010506697887:12000052631763768&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010506697887%7C_p_origin_prod%3A&pvid=e8097ab6-3f9c-470f-b2f7-725e80cca815,https://www.aliexpress.com/w/wholesale-מטחנת-מלח-ופלפל-חשמלית.html,9.46,https://www.alibaba.com/trade/search?SearchText=מטחנת+מלח+ופלפל+חשמלית,8.04,https://www.temu.com/search_result.html?search_key=מטחנת+מלח+ופלפל+חשמלית,8.51
31,GMA5031,מטבח ואירוח,Essential,משקף קפה French Press,"זכוכית איכותי, קפה ביתי",30,65,150,35,54%,,https://www.aliexpress.com/w/wholesale-משקף-קפה-french-press.html,8.11,https://www.alibaba.com/trade/search?SearchText=משקף+קפה+French+Press,6.89,https://www.temu.com/search_result.html?search_key=משקף+קפה+French+Press,7.3
32,GMA5032,מטבח ואירוח,Premium,בקבוק מים חכם + תזכורת LED,"תזכורת שתייה, LED, בריאות",45,85,220,40,47%,,https://www.aliexpress.com/w/wholesale-בקבוק-מים-חכם-+-תזכורת-led.html,12.16,https://www.alibaba.com/trade/search?SearchText=בקבוק+מים+חכם+++תזכורת+LED,10.34,https://www.temu.com/search_result.html?search_key=בקבוק+מים+חכם+++תזכורת+LED,10.95
33,GMA5033,מטבח ואירוח,Premium,מכונת קפה ניידת חשמלית,"אספרסו נטען, נסיעות",50,89,250,39,44%,,https://www.aliexpress.com/w/wholesale-מכונת-קפה-ניידת-חשמלית.html,13.51,https://www.alibaba.com/trade/search?SearchText=מכונת+קפה+ניידת+חשמלית,11.49,https://www.temu.com/search_result.html?search_key=מכונת+קפה+ניידת+חשמלית,12.16
34,GMA5034,מטבח ואירוח,Premium,מיקסר אישי נטען,"Smoothie portable, בריאות",40,79,190,39,49%,,https://www.aliexpress.com/w/wholesale-מיקסר-אישי-נטען.html,10.81,https://www.alibaba.com/trade/search?SearchText=מיקסר+אישי+נטען,9.19,https://www.temu.com/search_result.html?search_key=מיקסר+אישי+נטען,9.73
35,GMA5035,מטבח ואירוח,Premium,מאזניים דיגיטליות מיני לכף,"למטבח מדויק, אפייה",25,72,150,47,65%,,https://www.aliexpress.com/w/wholesale-מאזניים-דיגיטליות-מיני-לכף.html,6.76,https://www.alibaba.com/trade/search?SearchText=מאזניים+דיגיטליות+מיני+לכף,5.74,https://www.temu.com/search_result.html?search_key=מאזניים+דיגיטליות+מיני+לכף,6.08
36,GMA5036,מטבח ואירוח,Elite,כוס תרמית חכמת + בקרת טמפרטורה,"חימום/קירור, טכנולוגיה",60,99,280,39,39%,https://he.aliexpress.com/item/1005009980302473.html?spm=a2g0o.productlist.main.2.4c6b9yBJ9yBJAf&algo_pvid=5e3e2700-341d-4ada-b522-9f9a2589ad78&algo_exp_id=5e3e2700-341d-4ada-b522-9f9a2589ad78-1&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%2155.94%2127.41%21%21%21122.47%2160.01%21%40212e520f17729033237893164eeba0%2112000050750176166%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895&curPageLogUid=vtbXDPWyTG6e&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009980302473%7C_p_origin_prod%3A&_gl=1*tdqpn3*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI5MDE4NjUkbzI1JGcxJHQxNzcyOTAzMzYxJGo0NCRsMCRoMA..,https://www.aliexpress.com/w/wholesale-כוס-תרמית-חכמת-+-בקרת-טמפרטורה.html,16.22,https://www.alibaba.com/trade/search?SearchText=כוס+תרמית+חכמת+++בקרת+טמפרטורה,13.78,https://www.temu.com/search_result.html?search_key=כוס+תרמית+חכמת+++בקרת+טמפרטורה,14.59
37,GMA5037,מטבח ואירוח,Elite,סט כלי בישול 9 חלקים סיליקון,"צבעוני, איכותי, סט שלם",45,95,220,50,53%,,https://www.aliexpress.com/w/wholesale-סט-כלי-בישול-9-חלקים-סיליקון.html,12.16,https://www.alibaba.com/trade/search?SearchText=סט+כלי+בישול+9+חלקים+סיליקון,10.34,https://www.temu.com/search_result.html?search_key=סט+כלי+בישול+9+חלקים+סיליקון,10.95
38,GMA5038,מטבח ואירוח,Elite,מכונת ואקום למזון ניידת,"שמירת טריות, חיסכון",55,98,250,43,44%,,https://www.aliexpress.com/w/wholesale-מכונת-ואקום-למזון-ניידת.html,14.86,https://www.alibaba.com/trade/search?SearchText=מכונת+ואקום+למזון+ניידת,12.64,https://www.temu.com/search_result.html?search_key=מכונת+ואקום+למזון+ניידת,13.38
39,GMA5039,אופנה ואביזרים,Essential,תיק ארגונית קומפקטי,"לתיק גדול, סדר",20,55,130,35,64%,,https://www.aliexpress.com/w/wholesale-תיק-ארגונית-קומפקטי.html,5.41,https://www.alibaba.com/trade/search?SearchText=תיק+ארגונית+קומפקטי,4.59,https://www.temu.com/search_result.html?search_key=תיק+ארגונית+קומפקטי,4.86
40,GMA5040,אופנה ואביזרים,Essential,ארנק RFID Blocking,"הגנה מפני סריקה, אבטחה",25,62,150,37,60%,,https://www.aliexpress.com/w/wholesale-ארנק-rfid-blocking.html,6.76,https://www.alibaba.com/trade/search?SearchText=ארנק+RFID+Blocking,5.74,https://www.temu.com/search_result.html?search_key=ארנק+RFID+Blocking,6.08
